step,mean_return,policy_loss,value_loss,entropy_loss,cpc_loss,infonce_loss,supcon_loss,aux_dyn_loss
2048,-1390.0368581458927,-0.0014035819476703182,10130.78798980713,-1.4256824892014266,21.720905303955078,4.184849262237549,4.016783714294434,13.519270896911621
4096,-1220.7331964977086,-0.00023769097024342045,7734.70735168457,-1.4332824554294348,18.100419998168945,4.117204666137695,4.007874965667725,9.975339889526367
6144,-1345.699420673633,-0.0002107499400153756,9797.128866577148,-1.4337330289185046,14.853628158569336,4.072909832000732,4.017803192138672,6.762915134429932
8192,-1370.3837843120098,-0.002556106615520548,9173.16006011963,-1.4388468980789184,10.52954387664795,3.783367395401001,4.013613700866699,2.732563018798828
10240,-1314.9828187443316,-0.00034344053856329995,8452.559530639648,-1.4428226843476295,9.074438095092773,3.6951167583465576,4.0678391456604,1.3114824295043945
12288,-1343.3624002380297,-0.0011752298058127053,8489.63565979004,-1.4462210711091756,8.454876899719238,3.545142412185669,4.086679458618164,0.823054850101471
14336,-1269.9266472730785,-0.002390424085024279,7047.995066833496,-1.4499714937061072,8.648228645324707,3.3655622005462646,4.112852096557617,1.1698143482208252
16384,-1207.1685614802875,-0.003474109212402254,6503.353987121582,-1.4543547179549932,8.074779510498047,3.436974287033081,4.0220627784729,0.6157422065734863
18432,-1186.8923356663436,-0.004429948567121755,5856.825701141357,-1.4562181305140256,8.095246315002441,3.304758310317993,4.081836223602295,0.7086517810821533
20480,-1426.6798569366335,-0.0025901039218297226,8289.84946899414,-1.4531363602727652,8.326467514038086,3.5510213375091553,4.031646728515625,0.7437990307807922
22528,-1221.5558200205676,-0.001553801607224159,5896.632583618164,-1.4458352237939835,8.535303115844727,3.35770320892334,3.948230266571045,1.2293692827224731
24576,-1305.0633662894368,-0.0015068285196321086,6267.0110137939455,-1.4550631184130907,7.87471342086792,3.3994557857513428,3.985807418823242,0.4894501268863678
26624,-1215.189397208765,-0.0032561948595684954,5027.947382354736,-1.4548215828835964,8.040886878967285,3.1652843952178955,4.0431365966796875,0.8324658274650574
28672,-1165.181483203359,-0.0020197914222080727,4453.938584136963,-1.4432029493153096,7.874014854431152,3.097691297531128,4.117870330810547,0.6584529280662537
30720,-1256.5578041184694,-0.002516513870796189,4562.419472503662,-1.4566029455512761,8.098628997802734,3.3610050678253174,4.072699069976807,0.6649248003959656
32768,-1156.4395217283395,-0.002381518206675537,3739.5804656982423,-1.4606359139084817,8.000380516052246,3.15423321723938,4.034701347351074,0.8114461898803711
34816,-1312.0344813615084,-0.0012236671114806085,4882.007367706299,-1.4501487448811532,7.8096537590026855,3.4132072925567627,3.9420552253723145,0.4543910026550293
36864,-1177.0719088088722,-0.001871131690859329,3921.7857048034666,-1.4368656072765589,7.848452568054199,3.2186965942382812,4.012757301330566,0.6169987320899963
38912,-1213.6278547577326,-0.003533718007383868,3368.371318054199,-1.4443869560956955,7.6663432121276855,3.1382312774658203,4.068216323852539,0.4598957598209381
40960,-1130.6808703842573,-0.0014163036219542846,2862.3535858154296,-1.4660169012844562,7.696787357330322,3.1480700969696045,4.001472473144531,0.5472446084022522
43008,-1126.7521689017653,-0.0018121942026482428,2575.465690612793,-1.4723215188831091,7.542595386505127,3.0154240131378174,4.014937877655029,0.5122330784797668
45056,-1259.5044223949312,-0.0006477342700236477,3248.1375411987306,-1.4646199926733972,7.619772434234619,3.337132453918457,3.953314781188965,0.32932499051094055
47104,-1200.9863808052964,-0.0018782275932608173,2849.0219963073732,-1.4426978040486573,7.506875991821289,3.2436325550079346,3.897533893585205,0.3657090663909912
49152,-1215.2601782497018,-0.00044396290250006134,2743.403046798706,-1.4151362713426352,7.39276123046875,3.1336536407470703,3.981893539428711,0.2772139608860016
51200,-1124.1049716294685,-0.0035786251144600103,2320.993430709839,-1.404851896315813,7.454652786254883,3.047581434249878,4.013265132904053,0.3938063681125641
