step,mean_return,policy_loss,value_loss,entropy_loss,cpc_loss,infonce_loss,supcon_loss,aux_dyn_loss
2048,-1252.8452162845526,-0.0018987396862939932,8575.18752746582,-1.4236974526196717,15.7146577835083,4.036097049713135,4.085137844085693,11.270047187805176
4096,-1268.7007260791258,-0.004010174805443967,8766.001919555663,-1.422285318747163,13.627595901489258,4.056750774383545,4.081292629241943,9.162715911865234
6144,-1297.5534219167196,-0.0014249621774069965,9462.320840454102,-1.4200191982090473,10.523069381713867,4.035800457000732,4.059681415557861,6.081301212310791
8192,-1220.8515141187236,-0.002413191097730305,7744.387167358398,-1.4171270575374364,9.525030136108398,4.039205551147461,4.040336608886719,5.081791400909424
10240,-1276.9584218628704,-0.0007685543947445695,7768.142324829101,-1.4089091628789903,8.315610885620117,4.030473709106445,4.047074317932129,3.88042950630188
12288,-1221.9645690612494,0.00012259988725418224,7263.951678466797,-1.394793076440692,7.245085716247559,3.934572219848633,4.0223307609558105,2.908280611038208
14336,-1276.5297184824944,-0.0012103877612389623,7219.019569396973,-1.3888700027018785,6.770501136779785,3.833437919616699,4.049532413482666,2.5321099758148193
16384,-1246.5925415165723,-0.002149593728245236,5799.298643493652,-1.3856087040156126,5.445040702819824,3.6483020782470703,4.003808975219727,1.396357536315918
18432,-1348.8954530205579,-0.002207673538214294,7470.816569519043,-1.3757889311760665,5.567050457000732,3.6630022525787354,4.089513301849365,1.4950966835021973
20480,-1299.9054574765264,-0.002168333092413377,6185.743547058106,-1.3724334135651588,6.01674747467041,3.706559419631958,4.022812366485596,1.9079068899154663
22528,-1100.0461232432165,-0.0015371518427855335,4495.957308959961,-1.3681725077331066,5.559263229370117,3.4170944690704346,4.358148574829102,1.706353783607483
24576,-1267.0305354103446,-0.0013172479426430072,5929.383589172363,-1.37606003805995,5.430764198303223,3.5358307361602783,4.012077331542969,1.4937257766723633
26624,-1129.61846511513,-0.004083477825042791,4350.390574645996,-1.3911531519144773,4.958039283752441,3.4898083209991455,4.1891303062438965,1.049317717552185
28672,-1134.7646880230866,-0.001753724853915628,3643.325863647461,-1.3880268003791572,4.757285118103027,3.4041388034820557,3.9505808353424072,0.9580880999565125
30720,-1341.7022001523524,-0.004014813873800449,5981.46695098877,-1.3797591540962457,5.217097759246826,3.632661819458008,4.035987854003906,1.1808370351791382
32768,-1126.5447077599354,-0.0012890339799923821,3938.2200187683106,-1.375439279526472,4.896803855895996,3.504136323928833,4.046334266662598,0.9880342483520508
34816,-1095.5885563209188,-0.0021011463381000795,2996.69948348999,-1.3740009289234876,5.055584907531738,3.4074676036834717,4.451250076293945,1.2029919624328613
36864,-1324.372899594903,-0.0016432053365861067,4301.745587921143,-1.3827621221542359,4.765640735626221,3.6317806243896484,4.182668209075928,0.7155933380126953
38912,-1197.350392280519,-0.0023488815437303855,3405.8763328552245,-1.401437246799469,5.338064193725586,3.6923305988311768,3.958965539932251,1.249836802482605
40960,-1211.8105072278063,-0.0027767314881202766,3809.7397911071776,-1.4136879187077285,4.572899341583252,3.478022336959839,4.17576789855957,0.6773002743721008
43008,-1228.5370890049264,-0.003586123931745533,3474.24322013855,-1.4145036835223437,4.844630241394043,3.469728708267212,3.9873595237731934,0.9761655926704407
45056,-1270.1355719551443,-0.004060623525583651,3645.9351760864256,-1.4137632697820663,4.531944751739502,3.432785749435425,4.179523468017578,0.6812067627906799
47104,-1187.9887069359422,-0.003929366906231735,2488.338250350952,-1.420043235272169,4.360241413116455,3.40163254737854,4.242711067199707,0.5343376398086548
49152,-1172.8562682866118,-0.004422177101514535,2489.6254543304444,-1.4315685153007507,4.621099472045898,3.5320301055908203,4.163933277130127,0.6726759076118469
51200,-1084.6977715969756,-0.0029460738864145243,1819.9698684692382,-1.441607326641679,4.412128925323486,3.435056447982788,4.269792556762695,0.5500930547714233
53248,-1111.1986421087756,-0.0011157790257129818,1711.5336353302002,-1.4355654958635569,4.317995548248291,3.325146436691284,4.196237564086914,0.5732250809669495
55296,-1089.7735809635838,-0.002830629576055799,2197.953265380859,-1.4319982931017876,4.349822521209717,3.3422787189483643,4.177221775054932,0.5898215174674988
57344,-1078.9069037793204,-0.00417286256706575,1517.0382484436036,-1.4293192189186812,4.482548713684082,3.406529664993286,4.237059116363525,0.6523132920265198
59392,-1239.167382813245,-0.0043248661648249255,1433.0037754058837,-1.4131350964307785,4.237428665161133,3.43456768989563,4.098400592803955,0.39302071928977966
