step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1221.3048965070398,-0.0011914586939383298,8672.603132629394,-1.4214155104011297
4096,-1373.4088584527374,-0.000977318370132707,10161.418894958497,-1.4243612080812453
6144,-1289.2939176488667,-0.000886064613587223,8605.447087097167,-1.4286764062941075
8192,-1212.5555276025086,-0.0008109220449114219,7473.189814758301,-1.438267106562853
10240,-1253.1283100953326,-0.001181980292312801,8385.087536621093,-1.4498480461537837
12288,-1238.34702829998,-0.003674942738143727,7434.105493164063,-1.4510370157659054
14336,-1108.3647769529373,-0.0009750972851179541,5852.170759582519,-1.4356985013931989
16384,-1261.6982436297462,-0.005418403040675912,7037.215989685059,-1.4191723842173816
18432,-1112.7127594575286,-0.0007205395639175549,5219.199629211425,-1.4109706327319145
20480,-1168.8760621786118,-0.0059219595699687485,5191.286171722412,-1.4165441881865264
22528,-1273.1664180405437,-0.001159061455837218,5988.417864990234,-1.4192739952355624
24576,-1179.7070290644187,-0.0023746498409309424,5427.592136383057,-1.4201154448091984
26624,-1141.2289781834465,-0.002502919019025285,4285.044335174561,-1.4259925734251737
28672,-1107.9164314300754,-0.0008141807455103844,3730.794140625,-1.4262071684002877
30720,-1355.6602680236101,-0.0016627958575554658,5543.285527038574,-1.4237227827310561
32768,-1143.0725806893722,-0.0010490428205230274,3614.3575386047364,-1.4274385686963798
34816,-1249.5912942834198,-0.0006996996016823687,4084.0318092346192,-1.4272461388260127
36864,-1249.6514888599515,-0.001987393232411705,3904.5643783569335,-1.4146808449178934
38912,-1437.4336807607674,-0.0014289897721027956,5066.265908050537,-1.399724730104208
40960,-1307.1735985780135,-0.004424944384663831,4458.26636352539,-1.397876212745905
