step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1335.3194375291466,-0.0032309464033460243,10268.24423828125,-1.4243067897856236
4096,-1263.7986565694214,-0.001826352965144906,8412.200903320312,-1.4299324866384269
6144,-1340.4184861328454,-0.00014932489357306623,9392.617153930663,-1.4375669158995152
8192,-1382.553819656372,-0.0009638051291403826,9030.820437622071,-1.4427364710718393
10240,-1423.8211224481463,-0.0033916451517143286,9827.170806884766,-1.4391624718904494
12288,-1319.8361431360245,-0.0005442850582767278,7690.315426635742,-1.4315639175474644
14336,-1250.7068859621882,-0.0029839940318197476,6866.154766845703,-1.4254106648266316
16384,-1245.7149720806628,-0.0030061219658819027,6217.46393737793,-1.4226516954600812
