step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1341.0374502941966,-0.00251719526713714,9535.630400085449,-1.4204846777021884
4096,-1195.53082857728,-0.0008077911254076753,7644.230158996582,-1.4295701134949923
6144,-1314.62009715233,-0.0010250064340652898,9202.05460205078,-1.435401951521635
8192,-1293.1466703161598,-0.0010932687728200108,8265.601068115235,-1.4299514926970005
10240,-1233.9131693832576,-0.0024479389991029165,7534.704621887207,-1.437555981427431
12288,-1275.2615599201993,-0.000991273808904225,7527.981639099121,-1.4465048514306544
14336,-1363.0489249451086,-0.005153509754745755,8099.2009902954105,-1.4426872421056032
16384,-1236.6610407901928,-0.0013533575329347514,6905.79154663086,-1.4389683675020932
18432,-1246.6280709229409,-0.0022443160349212123,6253.898100280761,-1.428171828761697
20480,-1344.794591709599,-0.0028194569662446157,7327.485984802246,-1.419247906282544
22528,-1252.886483193189,-0.0025632940349169077,6020.391311645508,-1.4296378504484892
24576,-1286.229467921797,-0.0014205999439582228,6148.1598648071285,-1.4376648027449845
26624,-1231.0728600992065,-0.0022877208168210926,5318.251760864257,-1.4435398768633605
28672,-1184.5027060383932,-0.0021808121018693782,4343.002215576172,-1.4558038398623467
30720,-1282.1750650726258,-0.002104878399404697,4792.618477630615,-1.4577337309718132
32768,-1201.8105000442824,-0.002395879416144453,4444.687085723877,-1.4452425792813302
34816,-1291.6915100876242,-0.0008302656817249954,4870.455284881592,-1.4329413324594498
36864,-1231.8107893906533,-0.0015230011791572905,4186.152897644043,-1.4268177881836892
38912,-1250.6530418436973,-0.0016211630718316883,3515.465634536743,-1.4218629892915486
40960,-1089.8572874619626,-0.0013552649601479062,2641.448110961914,-1.406954661384225
43008,-1064.6861918960465,-0.0009294951312767807,2262.4133754730224,-1.3916094116866589
45056,-1217.467602068186,-0.0011387330756406299,3043.6648750305176,-1.387774559482932
47104,-1234.3269560889341,-0.00199689890287118,2785.356927871704,-1.3941166047006845
49152,-1207.6151820679195,-0.0029189172200858593,2755.6615394592286,-1.3984357055276633
51200,-1088.6689296027646,-0.0026322100558900273,2106.3204696655275,-1.3906838543713094
