step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1180.6199232185259,-0.0004553124643280171,7549.570289611816,-1.4172814145684243
4096,-1432.4112014852465,-0.00010734845418483018,11321.818325805663,-1.4168101649731397
6144,-1356.4821412459016,-0.002979947913263459,9346.17293395996,-1.4236327342689037
8192,-1266.4186930359342,-0.0026106509278179145,9616.130096435547,-1.4287184406071902
10240,-1367.460835267324,-0.002366272323706653,9242.958192443848,-1.4257930539548398
12288,-1487.6784056082367,-0.004340304157085484,10315.88731842041,-1.4224489744752646
14336,-1231.7377946119989,-0.0035386266397836154,7142.033956909179,-1.4305624820291996
16384,-1246.3302045315504,-0.0015323786399676464,6878.966717529297,-1.444729496538639
18432,-1300.9383237987756,-0.0008723776540136896,6836.767520141601,-1.446969796344638
20480,-1294.435941849649,-0.004713782863109373,6578.176295471191,-1.4442184012383223
22528,-1279.4290826143697,-0.0009833665200858377,5941.8136535644535,-1.443552628159523
24576,-1248.0441952323076,-0.0020595249021425842,5609.748224639892,-1.4410633470863103
26624,-1223.3707806821913,-0.003479767077078577,5190.293897247315,-1.4317170348018409
