step,mean_return,policy_loss,value_loss,entropy_loss,cpc_loss,infonce_loss,supcon_loss,aux_dyn_loss
2048,-1241.3037450570614,-0.002246398988063447,8226.311883544922,-1.425721874833107,17.991405487060547,4.161931991577148,3.901092052459717,9.92838191986084
4096,-1395.915748551488,-3.6542784073390067e-06,10403.918431091308,-1.4333547096699477,18.309978485107422,4.154582500457764,4.034969329833984,10.120426177978516
6144,-1134.9738361327677,-0.002319807608728297,7099.062425231934,-1.4358933996409178,12.867130279541016,4.012486934661865,3.9149017333984375,4.939741611480713
8192,-1319.7604089999572,-0.0008282872688141652,9930.552355957032,-1.435714289918542,11.291688919067383,4.163398742675781,3.979733467102051,3.14855694770813
10240,-1200.0634462481364,-0.0005724870861740783,7026.573965454101,-1.425612274557352,9.9082612991333,3.8963088989257812,4.125164985656738,1.8867874145507812
12288,-1157.1992265682668,-0.0045114060092600996,6237.272640991211,-1.4217553202062845,9.933975219726562,3.785675287246704,4.133699417114258,2.0146002769470215
14336,-1351.1453571006655,-0.000806812849623384,8268.940155029297,-1.4166665941476821,8.39043140411377,3.6481430530548096,4.00278377532959,0.7395046353340149
16384,-1321.548096687533,-0.0010804929479490966,7512.007647705078,-1.4034589689224959,8.49160099029541,3.789351224899292,4.08308744430542,0.6191627979278564
18432,-1185.4716988708824,-0.0012929463948239573,5891.509637451172,-1.3850140437483787,8.7933349609375,3.6424291133880615,3.99826979637146,1.1526364088058472
20480,-1206.373213871196,-0.0005772821430582553,5981.325729370117,-1.381703482568264,9.132610321044922,3.652517318725586,4.0578813552856445,1.4222121238708496
22528,-1315.4296909019351,-0.0010256635898258537,6787.185565185547,-1.3889275416731834,8.598752975463867,3.57405161857605,4.054311275482178,0.970390796661377
24576,-1211.983167766221,-0.0002652457551448606,5207.3070419311525,-1.3909487046301365,8.296295166015625,3.576401472091675,4.024105072021484,0.6957883834838867
26624,-1104.4175142541128,0.00033862531854538246,4015.6259231567383,-1.3911382775753736,8.612298011779785,3.526137351989746,4.020440101623535,1.065720796585083
28672,-1264.1021689236163,-0.002921628519834485,5109.062338256836,-1.3901470612734557,8.116950988769531,3.5385382175445557,3.9723784923553467,0.6060338616371155
30720,-1198.9097509974613,-0.0016142641543410718,4399.9586753845215,-1.3928976099938155,8.421309471130371,3.5320827960968018,4.041202068328857,0.8480246663093567
32768,-1158.4802522530779,-0.00029108844173606483,3910.9332611083983,-1.4022431656718255,7.99261474609375,3.5096702575683594,4.028843879699707,0.45410045981407166
34816,-1142.8167230570136,-0.0009340624303149526,3594.768664550781,-1.417439578101039,7.9160871505737305,3.404500961303711,3.9853649139404297,0.5262213349342346
36864,-1342.8073735192418,-0.0017625072418013588,4955.03023147583,-1.4306438654661178,8.160297393798828,3.569617509841919,3.9894192218780518,0.6012604236602783
38912,-1125.8676892214687,-0.0023793688902514986,3081.229298400879,-1.4520443737506867,7.899909496307373,3.4110777378082275,3.9192190170288086,0.5696131587028503
40960,-1080.3973923444748,-0.0030235826860007366,2751.86749458313,-1.467282297834754,8.018505096435547,3.3310134410858154,4.033786773681641,0.6537046432495117
43008,-1180.6061110563576,-0.0030193941871402784,2956.414790344238,-1.4700499087572099,8.293739318847656,3.4143781661987305,4.00501012802124,0.8743506073951721
45056,-1101.0590113969054,-0.0011506184193422087,2518.2118392944335,-1.4718122292309999,7.745526313781738,3.2840232849121094,3.934084892272949,0.5274180769920349
47104,-1078.7034657472745,-0.0012914994615130127,2162.0710792541504,-1.4656459901481866,7.784879684448242,3.303349494934082,3.9563024044036865,0.5252277255058289
49152,-1274.9167299982394,-0.0024280623962113167,3266.7739433288575,-1.4616963658481836,7.7003068923950195,3.4778964519500732,3.92284893989563,0.29956138134002686
51200,-1133.7628693336621,0.00011541055864654482,1770.1937030792237,-1.4666608970612287,8.24205493927002,3.4790658950805664,4.083535671234131,0.6794535517692566
