step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1352.6351721659303,-0.0030211097749997863,9465.608947753906,-1.4215979635715486,111.1217041015625
4096,-1247.0742803052067,-0.0005159647451364435,8329.861311340332,-1.4219501361250877,94.69940948486328
6144,-1388.677466762066,-0.001707135267497506,10544.99097290039,-1.4230231691151858,23.36282730102539
8192,-1432.1898526367731,-0.0017778919966076501,10358.79994354248,-1.426181948557496,29.53805923461914
10240,-1286.2412643402815,-0.0021878174899029545,8206.055546569823,-1.4302351735532284,12.144269943237305
12288,-1263.8460552778095,-0.0016699478976079263,7374.803538513183,-1.4327565558254718,12.907175064086914
14336,-1459.5944104075431,-0.0021437518749735317,9168.639166259765,-1.430336583033204,5.783387660980225
16384,-1180.9136287160218,-0.0009544732514768839,5385.606827545166,-1.4243639517575502,6.360996723175049
18432,-1197.952243976295,-0.002603553298104089,5872.385334014893,-1.421589533612132,5.019270420074463
20480,-1430.4406035341322,-0.0032351087589631788,8038.641361999512,-1.4252510473132134,7.1321492195129395
22528,-1448.7620647013186,-0.0022222884217626415,7948.576530456543,-1.4431962870061397,4.780913829803467
24576,-1164.015010353923,-0.001819206066284096,4710.574844360352,-1.4534774169325828,4.9886603355407715
26624,-1387.1865571327507,-0.0029132023817510346,6661.7817459106445,-1.4565036684274673,2.675271511077881
28672,-1170.1097916379572,-0.0031614059553248808,3897.8481307983398,-1.4548758190125226,3.923276424407959
30720,-1335.3099887663498,-0.0018979305590619334,5806.430020141602,-1.4373606909066439,4.377980709075928
32768,-1132.9398668847978,-0.0016370893223211168,3985.486082458496,-1.4296805158257484,2.5388646125793457
34816,-1262.0478804518934,-0.0013826078051351943,4397.691705322266,-1.4322993714362382,3.347639560699463
36864,-1470.714236585051,-0.004550212988397107,5930.879499053955,-1.4270228859037162,3.015195369720459
38912,-1184.1868277445435,-0.0012200674580526538,3689.5687454223635,-1.4193977579474448,2.448138475418091
40960,-1275.365100246668,-0.00370733422023477,4190.2239067077635,-1.4145947262644767,2.053429126739502
43008,-1082.8112345194445,-0.002727334243536461,2255.891803741455,-1.407795748859644,2.287810802459717
45056,-1149.3355710393748,-0.004133947968512075,2382.1522651672362,-1.4043293870985507,2.07443904876709
47104,-1308.018672338873,-0.0031735618409584276,3056.475883102417,-1.4074148248881102,1.7161619663238525
49152,-1263.1410531230272,-0.0037005217014666413,2764.7693424224854,-1.4093774612993002,1.8960546255111694
51200,-1044.823755656928,-0.0031398213977809064,1642.944327735901,-1.4075880609452724,1.9294062852859497
53248,-1229.47110529989,-0.0030758831271668896,2032.9859649658204,-1.3971256706863642,1.8600337505340576
55296,-1255.3743452086346,-0.003169880523637403,2424.9539443969725,-1.3901967033743858,2.0894041061401367
57344,-1176.9526888146997,-0.003087948770553339,2134.6469345092773,-1.3934195693582296,1.6963504552841187
59392,-1126.765099915117,-0.0012818305345717817,1323.5413734436036,-1.405439691618085,1.7476381063461304
61440,-1298.438882450387,-0.0031358788546640426,2156.0590019226074,-1.4091961536556483,1.8292219638824463
63488,-1145.3981665335596,-0.002469060588919092,1432.184477043152,-1.4103343930095433,1.4843676090240479
