step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1341.0374502941966,-0.00251719526713714,9535.630400085449,-1.4204846777021884
4096,-1195.53082857728,-0.0008077911254076753,7644.230158996582,-1.4295701134949923
6144,-1314.62009715233,-0.0010250064340652898,9202.05460205078,-1.435401951521635
8192,-1293.1466703161598,-0.0010932687728200108,8265.601068115235,-1.4299514926970005
10240,-1233.9131693832576,-0.0024479389991029165,7534.704621887207,-1.437555981427431
12288,-1275.2615599201993,-0.000991273808904225,7527.981639099121,-1.4465048514306544
14336,-1363.0489249451086,-0.005153509754745755,8099.2009902954105,-1.4426872421056032
16384,-1236.6610407901928,-0.0013533575329347514,6905.79154663086,-1.4389683675020932
